unique_id,ds,y
world_bank_pink_sheet_monthly_arabica,1990-07-01,1.91
world_bank_pink_sheet_monthly_arabica,1990-08-01,2.08
world_bank_pink_sheet_monthly_arabica,1990-09-01,2.1
world_bank_pink_sheet_monthly_arabica,1990-10-01,2.02
world_bank_pink_sheet_monthly_arabica,1990-11-01,1.87
world_bank_pink_sheet_monthly_arabica,1990-12-01,1.97
world_bank_pink_sheet_monthly_arabica,1991-01-01,1.89
world_bank_pink_sheet_monthly_arabica,1991-02-01,1.97
world_bank_pink_sheet_monthly_arabica,1991-03-01,2.06
world_bank_pink_sheet_monthly_arabica,1991-04-01,2.03
world_bank_pink_sheet_monthly_arabica,1991-05-01,1.94
world_bank_pink_sheet_monthly_arabica,1991-06-01,1.89
world_bank_pink_sheet_monthly_arabica,1991-07-01,1.84
world_bank_pink_sheet_monthly_arabica,1991-08-01,1.8
world_bank_pink_sheet_monthly_arabica,1991-09-01,1.92
world_bank_pink_sheet_monthly_arabica,1991-10-01,1.76
world_bank_pink_sheet_monthly_arabica,1991-11-01,1.72
world_bank_pink_sheet_monthly_arabica,1991-12-01,1.66
world_bank_pink_sheet_monthly_arabica,1992-01-01,1.62
world_bank_pink_sheet_monthly_arabica,1992-02-01,1.51
world_bank_pink_sheet_monthly_arabica,1992-03-01,1.55
world_bank_pink_sheet_monthly_arabica,1992-04-01,1.45
world_bank_pink_sheet_monthly_arabica,1992-05-01,1.34
world_bank_pink_sheet_monthly_arabica,1992-06-01,1.3
world_bank_pink_sheet_monthly_arabica,1992-07-01,1.28
world_bank_pink_sheet_monthly_arabica,1992-08-01,1.17
world_bank_pink_sheet_monthly_arabica,1992-09-01,1.17
world_bank_pink_sheet_monthly_arabica,1992-10-01,1.36
world_bank_pink_sheet_monthly_arabica,1992-11-01,1.48
world_bank_pink_sheet_monthly_arabica,1992-12-01,1.7
world_bank_pink_sheet_monthly_arabica,1993-01-01,1.53
world_bank_pink_sheet_monthly_arabica,1993-02-01,1.49
world_bank_pink_sheet_monthly_arabica,1993-03-01,1.4
world_bank_pink_sheet_monthly_arabica,1993-04-01,1.28
world_bank_pink_sheet_monthly_arabica,1993-05-01,1.37
world_bank_pink_sheet_monthly_arabica,1993-06-01,1.38
world_bank_pink_sheet_monthly_arabica,1993-07-01,1.58
world_bank_pink_sheet_monthly_arabica,1993-08-01,1.7
world_bank_pink_sheet_monthly_arabica,1993-09-01,1.78
world_bank_pink_sheet_monthly_arabica,1993-10-01,1.69
world_bank_pink_sheet_monthly_arabica,1993-11-01,1.73
world_bank_pink_sheet_monthly_arabica,1993-12-01,1.79
world_bank_pink_sheet_monthly_arabica,1994-01-01,1.74
world_bank_pink_sheet_monthly_arabica,1994-02-01,1.85
world_bank_pink_sheet_monthly_arabica,1994-03-01,1.92
world_bank_pink_sheet_monthly_arabica,1994-04-01,2
world_bank_pink_sheet_monthly_arabica,1994-05-01,2.69
world_bank_pink_sheet_monthly_arabica,1994-06-01,3.16
world_bank_pink_sheet_monthly_arabica,1994-07-01,4.83
world_bank_pink_sheet_monthly_arabica,1994-08-01,4.42
world_bank_pink_sheet_monthly_arabica,1994-09-01,4.89
